# Funções extraídas de libfs18.so
# Endereço           | Nome Original                            | Nome Demangled
----------------------------------------------------------------------------------------------------
000000000036f3bc   | _ZNSt6__ndk115basic_streambufIcNS_11char_traitsIcEEE5sgetnEPcl | std::__ndk1::basic_streambuf<char, std::__ndk1::char_traits<char> >::sgetn(char*, long)
0000000000203fcc   | _ZN7Vehicle11aiStartTaskEv               | Vehicle::aiStartTask()
0000000000274990   | _ZN24GLESHandheldRenderDeviceC1EP27AndroidHandheldSystemDevice | GLESHandheldRenderDevice::GLESHandheldRenderDevice(AndroidHandheldSystemDevice*)
000000000028ef34   | _ZN3Cki12BufferSource7setLoopEii         | Cki::BufferSource::setLoop(int, int)
00000000002ad714   | _ZN3Cki11FixedStringILi128EEC2EPKc       | Cki::FixedString<128>::FixedString(char const*)
00000000003464d8   | png_get_copyright                        | png_get_copyright
0000000000375c68   | _ZNSt6__ndk113basic_istreamIwNS_11char_traitsIwEEE6ignoreElj | std::__ndk1::basic_istream<wchar_t, std::__ndk1::char_traits<wchar_t> >::ignore(long, unsigned int)
000000000025c018   | _ZN20GameStateStartScreen7initGUIEP18GUIResourceManagerP14MenuBackgroundP12DialogScreen | GameStateStartScreen::initGUI(GUIResourceManager*, MenuBackground*, DialogScreen*)
000000000027c788   | _ZN23HandheldInputDeviceBase18hasTriggeredButtonEjb | HandheldInputDeviceBase::hasTriggeredButton(unsigned int, bool)
00000000002ae150   | _ZN3Cki5Mutex4lockEv                     | Cki::Mutex::lock()
0000000000302d9c   | _ZN11StatsScreen13createStatBoxEiiiiRP8MenuItemS2_ | StatsScreen::createStatBox(int, int, int, int, MenuItem*&, MenuItem*&)
00000000003b0478   | _ZNSt6__ndk112basic_stringIwNS_11char_traitsIwEENS_9allocatorIwEEE6assignEPKwm | std::__ndk1::basic_string<wchar_t, std::__ndk1::char_traits<wchar_t>, std::__ndk1::allocator<wchar_t> >::assign(wchar_t const*, unsigned long)
00000000001b4cd8   | _ZNSt6__ndk114__split_bufferIPN10EventStack10eEventTypeERNS_9allocatorIS3_EEE9push_backEOS3_ | std::__ndk1::__split_buffer<EventStack::eEventType*, std::__ndk1::allocator<EventStack::eEventType*>&>::push_back(EventStack::eEventType*&&)
000000000029df40   | _ZN3Cki18GraphOutputAndroid8stopImplEv   | Cki::GraphOutputAndroid::stopImpl()
0000000000314f00   | _ZN10StringUtil9strtouintEPKcRj          | StringUtil::strtouint(char const*, unsigned int&)
0000000000260a90   | _ZN6b2Body13CreateFixtureEPK7b2Shapef    | b2Body::CreateFixture(b2Shape const*, float)
0000000000272730   | _ZN11b2WeldJointC1EPK14b2WeldJointDef    | b2WeldJoint::b2WeldJoint(b2WeldJointDef const*)
0000000000281634   | _ZN30AndroidHandheldBluetoothClient6updateEfb | AndroidHandheldBluetoothClient::update(float, bool)
00000000002ada0c   | _ZN3Cki6JniEnvD2Ev                       | Cki::JniEnv::~JniEnv()
00000000003441e4   | jcopy_block_row                          | jcopy_block_row
00000000001ceba8   | _ZN3Map25findClosestRefillPositionEffRfS0_S0_RbN9FruitUtil10FILL_TYPESEf | Map::findClosestRefillPosition(float, float, float&, float&, float&, bool&, FruitUtil::FILL_TYPES, float)
000000000029f6ac   | _ZN3Cki7MixNode7executeEiNS_12CommandParamES1_ | Cki::MixNode::execute(int, Cki::CommandParam, Cki::CommandParam)
00000000003364fc   | jpeg_start_decompress                    | jpeg_start_decompress
0000000000336418   | jpeg_finish_decompress                   | jpeg_finish_decompress
000000000035e434   | png_destroy_write_struct                 | png_destroy_write_struct
00000000001aa9f0   | _ZN11AudioBufferC1Ev                     | AudioBuffer::AudioBuffer()
00000000002858c0   | _ZN15AndroidActivity9takeMutexEj         | AndroidActivity::takeMutex(unsigned int)
000000000024da6c   | _ZNK13GameStateBase14getNumVehiclesEv    | GameStateBase::getNumVehicles() const
0000000000281308   | _ZN19HandheldNetworkUtil4initEv          | HandheldNetworkUtil::init()
00000000002aed40   | _ZN3Cki12CustomStreamC2EP12CkCustomFile  | Cki::CustomStream::CustomStream(CkCustomFile*)
00000000002afb38   | _ZN3Cki6String6printfEPKcz               | Cki::String::printf(char const*, ...)
00000000003226cc   | _ZNK9dtNavMesh14storeTileStateEPK10dtMeshTilePhi | dtNavMesh::storeTileState(dtMeshTile const*, unsigned char*, int) const
00000000001b20c4   | _ZN11DialogStackC1Ev                     | DialogStack::DialogStack()
0000000000279638   | _ZN24GLESHandheldRenderDevice20setLightAmbientColorEjPKf | GLESHandheldRenderDevice::setLightAmbientColor(unsigned int, float const*)
00000000002348c8   | _ZN10IGameState18wantsToChangeStateEv    | IGameState::wantsToChangeState()
0000000000278df8   | _ZN24GLESHandheldRenderDevice23enqueueSetTextMonospaceEbf | GLESHandheldRenderDevice::enqueueSetTextMonospace(bool, float)
00000000002818a8   | _ZN30AndroidHandheldBluetoothServer4sendEPKhjjPbb | AndroidHandheldBluetoothServer::send(unsigned char const*, unsigned int, unsigned int, bool*, bool)
00000000002d086c   | _ZN13GenericButton7addTextEjjiiii10eAlignmentS0_14eTextAlignmentjf | GenericButton::addText(unsigned int, unsigned int, int, int, int, int, eAlignment, eAlignment, eTextAlignment, unsigned int, float)
